xyz_campaign_id,age,gender,total_spent,total_sales,leads,LeadQuality,MaxQuality,budget_share,efficiency_index,LostSalesOpportunity
1178,45-49,F,11985.169995884002,87,308,0.28246753246753248,0.5,0.20415847113480015,0.564935064935065,67.0
1178,40-44,F,7019.7399833560021,80,269,0.29739776951672864,0.5,0.11957605801652907,0.59479553903345728,54.5
1178,35-39,M,4967.4200023050007,95,270,0.35185185185185186,0.5,0.08461631111642931,0.70370370370370372,40.0
1178,30-34,M,7476.0699910389985,243,675,0.36,0.41880341880341881,0.12734930084358007,0.85959183673469386,39.69
1178,40-44,M,4102.7799974069994,61,164,0.37195121951219512,0.6,0.069887810682761314,0.61991869918699194,37.4
1178,30-34,F,7309.5599948199988,152,498,0.30522088353413657,0.36363636363636365,0.12451292670216974,0.8393574297188755,29.09
1178,35-39,F,5737.939990586,72,247,0.291497975708502,0.40740740740740738,0.097741546957078734,0.715495031284505,28.63
936,45-49,F,1432.9299968790003,23,87,0.26436781609195403,0.5,0.024408898455881532,0.52873563218390807,20.5
936,40-44,F,375.71000028599997,12,51,0.23529411764705882,0.5,0.0063999408664864353,0.47058823529411764,13.5
936,35-39,M,65.640000223,12,42,0.2857142857142857,0.5,0.0011181286619562207,0.5714285714285714,9.0
936,40-44,M,74.689999489,13,32,0.40625,0.6,0.001272288679256947,0.67708333333333337,6.2
936,45-49,M,235.17000048999998,13,44,0.29545454545454547,0.34453781512605042,0.0040059463297806427,0.85753880266075388,2.16
916,30-34,M,27.340000065,7,20,0.35,0.41880341880341881,0.00046571659943185005,0.83571428571428563,1.38
936,30-34,F,253.93000018399994,39,110,0.35454545454545455,0.36363636363636365,0.00432550899408425,0.975,1.0
916,35-39,F,5.620000005,1,3,0.33333333333333331,0.40740740740740738,9.57325268805035e-05,0.81818181818181823,0.22
916,45-49,M,18.82000017,1,3,0.33333333333333331,0.34453781512605042,0.00032058472785812843,0.9674796747967479,0.03
916,30-34,F,47.990000123,4,11,0.36363636363636365,0.36363636363636365,0.00081747401649165375,1.0,0.0
916,40-44,M,15.680000305,3,5,0.6,0.6,0.00026709716180591279,1.0,0.0
916,45-49,F,15.110000014,2,4,0.5,0.5,0.00025738763010991551,1.0,0.0
916,40-44,F,1.129999995,1,2,0.5,0.5,1.9248710818516507e-05,1.0,0.0
916,35-39,M,18.01999998,5,10,0.5,0.5,0.00030695731867210607,1.0,0.0
936,35-39,F,317.79000123599997,22,54,0.40740740740740738,0.40740740740740738,0.0054133166919242033,1.0,0.0
936,30-34,M,137.510000147,49,117,0.41880341880341881,0.41880341880341881,0.0023423807426510347,1.0,0.0
1178,45-49,M,7063.4700032170012,82,238,0.34453781512605042,0.34453781512605042,0.12032096643256172,1.0,0.0
